chart,Time,close,num,ShaHighSD,ShaLowSD,,ShaHighUSD,ShaLowUSD
EURUSD,2019.08.09 00:00:00,1.11924,23,5.999999999994898e-05,4.999999999988347e-05,,0,0
EURUSD,2019.08.08 23:00:00,1.11789,24,0,0,,0.000280000000000058,0
EURUSD,2019.08.08 22:00:00,1.11866,25,0.0006399999999999739,2.999999999997449e-05,,0,0
EURUSD,2019.08.08 21:00:00,1.11851,26,0,0,,0.0003099999999998104,0.000460000000000127
EURUSD,2019.08.08 20:00:00,1.11997,27,0,0,,0.000119999999999898,0.0005599999999998939
EURUSD,2019.08.08 19:00:00,1.12044,28,0,0,,0.000100000000000211,0.0009399999999999409
EURUSD,2019.08.08 18:00:00,1.12064,29,0.001290000000000013,0,,0,0
EURUSD,2019.08.08 17:00:00,1.1199,30,0.003310000000000146,0.0003699999999999815,,0,0
EURUSD,2019.08.08 16:00:00,1.11964,31,0,0,,0.0009699999999999154,0.002029999999999976
EURUSD,2019.08.08 15:00:00,1.12037,32,7.999999999985796e-05,0.0006700000000001705,,0,0
EURUSD,2019.08.08 14:00:00,1.11875,33,0,0,,0.000199999999999978,0.0003799999999998249
EURUSD,2019.08.08 13:00:00,1.12001,34,0,0,,1.999999999990898e-05,2.000000000013102e-05
EURUSD,2019.08.08 12:00:00,1.12112,35,0,0,,0.0001299999999999635,0.0005800000000000249
EURUSD,2019.08.08 11:00:00,1.12141,36,0,0,,5.000000000010552e-05,0.001049999999999995
EURUSD,2019.08.08 10:00:00,1.12169,37,0.000240000000000018,0.0004300000000001525,,0,0
EURUSD,2019.08.08 09:00:00,1.12061,38,0,0,,0.0006200000000000649,0.000340000000000007
EURUSD,2019.08.08 08:00:00,1.12117,39,7.00000000000145e-05,0.0001299999999999635,,0,0
EURUSD,2019.08.08 07:00:00,1.12091,40,0,0,,9.999999999998899e-05,0.000119999999999898
EURUSD,2019.08.08 06:00:00,1.12099,41,0.0001100000000000545,0.0001799999999998469,,0,0
EURUSD,2019.08.08 05:00:00,1.12095,42,0.000240000000000018,0,,0,0
EURUSD,2019.08.08 04:00:00,1.12067,43,0,0,,0.0006200000000000649,0.000199999999999978
EURUSD,2019.08.08 03:00:00,1.12097,44,0.0003500000000000725,5.999999999994898e-05,,0,0
EURUSD,2019.08.08 02:00:00,1.12035,45,0,0,,0.0002699999999999925,0.0001899999999999125
EURUSD,2019.08.08 01:00:00,1.12044,46,0.000159999999999938,8.999999999992347e-05,,0,0
EURUSD,2019.08.08 00:00:00,1.12007,47,0.0003100000000000325,0.0001700000000000035,,0,0
EURUSD,2019.08.07 23:00:00,1.11976,48,0,0,,5.000000000010552e-05,0.0002699999999999925
EURUSD,2019.08.07 22:00:00,1.12032,49,0,0,,9.999999999998899e-05,0.000280000000000058
EURUSD,2019.08.07 21:00:00,1.12139,50,0,0,,0.000480000000000036,0.0006199999999998429
EURUSD,2019.08.07 20:00:00,1.12162,51,0,0,,0.0006399999999999739,0.0003699999999999815
EURUSD,2019.08.07 19:00:00,1.12266,52,0,0,,9.999999999998899e-05,0.0006600000000001049
EURUSD,2019.08.07 18:00:00,1.1235,53,0.000140000000000029,0.0002699999999999925,,0,0
EURUSD,2019.08.07 17:00:00,1.12154,54,0,0,,0.0008900000000000574,0.0006099999999999994
EURUSD,2019.08.07 16:00:00,1.12339,55,0.0006299999999999084,0.0003699999999999815,,0,0
EURUSD,2019.08.07 15:00:00,1.12066,56,0.000159999999999938,0.0007199999999998319,,0,0
EURUSD,2019.08.07 14:00:00,1.11978,57,0.0001700000000000035,5.999999999994898e-05,,0,0
EURUSD,2019.08.07 13:00:00,1.11839,58,0,0,,0.0005100000000000104,0.000299999999999967
EURUSD,2019.08.07 12:00:00,1.11847,59,0,0,,0.000360000000000138,0
EURUSD,2019.08.07 11:00:00,1.11906,60,0.000380000000000047,0.0002499999999998614,,0,0
EURUSD,2019.08.07 10:00:00,1.1189,61,0,0,,5.999999999994898e-05,0.0004399999999999959
EURUSD,2019.08.07 09:00:00,1.11982,62,0,0,,0.0003299999999999415,9.999999999998899e-05
EURUSD,2019.08.07 08:00:00,1.12059,63,0,0,,0.000259999999999927,8.999999999992347e-05
EURUSD,2019.08.07 07:00:00,1.12109,64,0,0,,7.00000000000145e-05,0.000119999999999898
EURUSD,2019.08.07 06:00:00,1.12139,65,0.000259999999999927,0.000340000000000007,,0,0
EURUSD,2019.08.07 05:00:00,1.12089,66,0,0,,0.0003699999999999815,5.000000000010552e-05
EURUSD,2019.08.07 04:00:00,1.1213,67,0.0005999999999999339,0.0003699999999999815,,0,0
EURUSD,2019.08.07 03:00:00,1.12086,68,0.0008500000000000174,0.0001299999999999635,,0,0
EURUSD,2019.08.07 02:00:00,1.12049,69,5.000000000010552e-05,7.00000000000145e-05,,0,0
EURUSD,2019.08.07 01:00:00,1.1201,70,0.0003099999999998104,9.000000000014552e-05,,0,0
EURUSD,2019.08.07 00:00:00,1.1201,71,0.0002499999999998614,0.0001799999999998469,,0,0
EURUSD,2019.08.06 23:00:00,1.11988,72,0.0006900000000000794,2.000000000013102e-05,,0,0
EURUSD,2019.08.06 22:00:00,1.11972,73,0,0,,0.0004699999999999704,4.999999999988347e-05
EURUSD,2019.08.06 21:00:00,1.11999,74,7.00000000000145e-05,0.0003900000000001125,,0,0
EURUSD,2019.08.06 20:00:00,1.1194,75,0,0,,1.999999999990898e-05,0.0007300000000001194
EURUSD,2019.08.06 19:00:00,1.1197,76,0.0008000000000001339,0.0002900000000001235,,0,0
EURUSD,2019.08.06 18:00:00,1.1196,77,0.0009300000000000974,0,,0,0
EURUSD,2019.08.06 17:00:00,1.11819,78,0.000520000000000076,0.000140000000000029,,0,0
EURUSD,2019.08.06 16:00:00,1.11728,79,0,0,,0.0005800000000000249,0.0004100000000000215
EURUSD,2019.08.06 15:00:00,1.11792,80,0,0,,0.000220000000000109,0.0003100000000000325
EURUSD,2019.08.06 14:00:00,1.11842,81,0,0,,0.000219999999999887,3.999999999981796e-05
EURUSD,2019.08.06 13:00:00,1.12018,82,2.999999999997449e-05,0.0008600000000000829,,0,0
EURUSD,2019.08.06 12:00:00,1.12009,83,0.000380000000000047,0.0004300000000001525,,0,0
EURUSD,2019.08.06 11:00:00,1.11986,84,0,0,,0.00012000000000012,2.999999999997449e-05
EURUSD,2019.08.06 10:00:00,1.12136,85,0.0004500000000000615,0.0006900000000000794,,0,0
