chart,Time,close,num,ShaHighSD,ShaLowSD,,ShaHighUSD,ShaLowUSD
EURUSD,2019.08.08 00:30:00,1.12013,189,7.999999999985796e-05,9.999999999998899e-05,,0,0
EURUSD,2019.08.08 00:15:00,1.12007,190,0,0,,9.999999999843467e-06,8.000000000008001e-05
EURUSD,2019.08.08 00:00:00,1.12019,191,0.0001899999999999125,0.0001700000000000035,,0,0
EURUSD,2019.08.07 23:45:00,1.11976,192,0,0,,5.000000000010552e-05,0.000159999999999938
EURUSD,2019.08.07 23:30:00,1.12012,193,0,0,,4.000000000004e-05,1.999999999990898e-05
EURUSD,2019.08.07 23:15:00,1.12027,194,0,0,,0.000140000000000029,0
EURUSD,2019.08.07 23:00:00,1.12057,195,0,0.0003100000000000325,,0,0
EURUSD,2019.08.07 22:45:00,1.12032,196,0,0,,9.999999999998899e-05,0.000299999999999967
EURUSD,2019.08.07 22:30:00,1.12062,197,0,0,,4.999999999988347e-05,9.000000000014552e-05
EURUSD,2019.08.07 22:15:00,1.12123,198,0,0,,2.999999999997449e-05,0.0003199999999998759
EURUSD,2019.08.07 22:00:00,1.1213,199,0,0,,0.0002299999999999525,0.000280000000000058
EURUSD,2019.08.07 21:45:00,1.12139,200,0,0,,0.0002300000000001745,0.0003199999999998759
EURUSD,2019.08.07 21:30:00,1.12143,201,0,0,,0.0001499999999998725,0.0003900000000001125
EURUSD,2019.08.07 21:15:00,1.12162,202,0.0005899999999998684,0,,0,0
EURUSD,2019.08.07 21:00:00,1.121,203,0,0,,8.999999999992347e-05,7.999999999985796e-05
EURUSD,2019.08.07 20:45:00,1.12162,204,9.999999999843467e-06,0.0002500000000000835,,0,0
EURUSD,2019.08.07 20:30:00,1.12125,205,0,0,,0.0002699999999999925,0
EURUSD,2019.08.07 20:15:00,1.12269,206,0.000299999999999967,0.000259999999999927,,0,0
EURUSD,2019.08.07 20:00:00,1.12262,207,0,0,,0.0008200000000000429,0.0003699999999999815
EURUSD,2019.08.07 19:45:00,1.12266,208,0,0,,9.999999999998899e-05,1.000000000006551e-05
EURUSD,2019.08.07 19:30:00,1.12315,209,0,0,,0.000240000000000018,0.000119999999999898
EURUSD,2019.08.07 19:15:00,1.12338,210,0.0007500000000000284,4.000000000004e-05,,0,0
EURUSD,2019.08.07 19:00:00,1.12279,211,0,0,,9.999999999998899e-05,0.000199999999999978
EURUSD,2019.08.07 18:45:00,1.1235,212,0.000140000000000029,0.000460000000000127,,0,0
EURUSD,2019.08.07 18:30:00,1.12315,213,1.999999999990898e-05,0.0004599999999999049,,0,0
EURUSD,2019.08.07 18:15:00,1.12291,214,0.0005299999999999194,0.0001100000000000545,,0,0
EURUSD,2019.08.07 18:00:00,1.12233,215,0,0.0002699999999999925,,0,0
EURUSD,2019.08.07 17:45:00,1.12154,216,0,0,,0.0008900000000000574,9.000000000014552e-05
EURUSD,2019.08.07 17:30:00,1.12233,217,0,0,,0.0001299999999999635,0
EURUSD,2019.08.07 17:15:00,1.12316,218,0.0005699999999999594,0.0001299999999999635,,0,0
EURUSD,2019.08.07 17:00:00,1.1228,219,0,0,,0.0006900000000000794,0.0006099999999999994
EURUSD,2019.08.07 16:45:00,1.12339,220,0.0006299999999999084,0,,0,0
EURUSD,2019.08.07 16:30:00,1.12241,221,0.0004100000000000215,0.000140000000000029,,0,0
EURUSD,2019.08.07 16:15:00,1.12232,222,0.000180000000000069,0.0004299999999999304,,0,0
EURUSD,2019.08.07 16:00:00,1.12176,223,0.0001700000000000035,0.0003699999999999815,,0,0
EURUSD,2019.08.07 15:45:00,1.12066,224,0.000159999999999938,0.000380000000000047,,0,0
EURUSD,2019.08.07 15:30:00,1.11996,225,0.000159999999999938,5.999999999994898e-05,,0,0
EURUSD,2019.08.07 15:15:00,1.11912,226,0,0,,6.999999999979245e-05,1.999999999990898e-05
EURUSD,2019.08.07 15:00:00,1.12013,227,0.0002899999999999014,0.0002899999999999014,,0,0
EURUSD,2019.08.07 14:45:00,1.11978,228,0.0001700000000000035,0.0001299999999999635,,0,0
EURUSD,2019.08.07 14:30:00,1.11954,229,5.999999999994898e-05,5.999999999994898e-05,,0,0
EURUSD,2019.08.07 14:15:00,1.11903,230,7.00000000000145e-05,0,,0,0
EURUSD,2019.08.07 14:00:00,1.11863,231,0.0002299999999999525,5.999999999994898e-05,,0,0
EURUSD,2019.08.07 13:45:00,1.11839,232,1.999999999990898e-05,0.0004299999999999304,,0,0
EURUSD,2019.08.07 13:30:00,1.11829,233,0,0,,0.000380000000000047,6.000000000017103e-05
EURUSD,2019.08.07 13:15:00,1.1184,234,0.0003699999999999815,0.000180000000000069,,0,0
EURUSD,2019.08.07 13:00:00,1.11819,235,0,0,,1.999999999990898e-05,0.0001499999999998725
EURUSD,2019.08.07 12:45:00,1.11847,236,0,0,,0.000360000000000138,0.000219999999999887
EURUSD,2019.08.07 12:30:00,1.11853,237,9.999999999998899e-05,0.000119999999999898,,0,0
EURUSD,2019.08.07 12:15:00,1.11842,238,0.000199999999999978,0.000199999999999978,,0,0
EURUSD,2019.08.07 12:00:00,1.1184,239,0,0,,9.000000000014552e-05,0
EURUSD,2019.08.07 11:45:00,1.11906,240,0,0,,5.999999999994898e-05,0.00012000000000012
EURUSD,2019.08.07 11:30:00,1.11929,241,0,0,,0.0003499999999998504,0.000140000000000029
EURUSD,2019.08.07 11:15:00,1.11931,242,0.000119999999999898,0.0001299999999999635,,0,0
EURUSD,2019.08.07 11:00:00,1.11931,243,2.999999999997449e-05,0.0002499999999998614,,0,0
EURUSD,2019.08.07 10:45:00,1.1189,244,0,0,,5.999999999994898e-05,0
EURUSD,2019.08.07 10:30:00,1.11997,245,0.0002000000000002,0.0003100000000000325,,0,0
EURUSD,2019.08.07 10:15:00,1.11979,246,0,0,,0.000220000000000109,9.999999999998899e-05
EURUSD,2019.08.07 10:00:00,1.12015,247,8.000000000008001e-05,0.000259999999999927,,0,0
EURUSD,2019.08.07 09:45:00,1.11982,248,0,0,,0.0003299999999999415,0.000140000000000029
EURUSD,2019.08.07 09:30:00,1.12038,249,0,0,,0.000159999999999938,9.999999999998899e-05
EURUSD,2019.08.07 09:15:00,1.12042,250,0.00012000000000012,0.0001499999999998725,,0,0
EURUSD,2019.08.07 09:00:00,1.1202,251,0,0,,2.000000000013102e-05,9.999999999998899e-05
EURUSD,2019.08.07 08:45:00,1.12059,252,0,5.999999999994898e-05,,0,0
EURUSD,2019.08.07 08:30:00,1.12041,253,0,0,,1.999999999990898e-05,2.999999999997449e-05
EURUSD,2019.08.07 08:15:00,1.1209,254,8.999999999992347e-05,9.999999999998899e-05,,0,0
EURUSD,2019.08.07 08:00:00,1.12089,255,0,0,,4.000000000004e-05,8.999999999992347e-05
EURUSD,2019.08.07 07:45:00,1.12109,256,0,0,,7.00000000000145e-05,0.000340000000000007
EURUSD,2019.08.07 07:30:00,1.12115,257,0,0,,1.000000000006551e-05,0.0001099999999998325
EURUSD,2019.08.07 07:15:00,1.12133,258,0,0,,0.000140000000000029,9.999999999843467e-06
EURUSD,2019.08.07 07:00:00,1.12145,259,0,0.000360000000000138,,0,0
EURUSD,2019.08.07 06:45:00,1.12139,260,0.000119999999999898,5.000000000010552e-05,,0,0
EURUSD,2019.08.07 06:30:00,1.12107,261,0,0,,4.000000000004e-05,8.000000000008001e-05
EURUSD,2019.08.07 06:15:00,1.12154,262,0.0001100000000000545,0.0001500000000000945,,0,0
EURUSD,2019.08.07 06:00:00,1.12091,263,0.0001899999999999125,0.000340000000000007,,0,0
EURUSD,2019.08.07 05:45:00,1.12089,264,0.0001299999999999635,0.000159999999999938,,0,0
EURUSD,2019.08.07 05:30:00,1.12068,265,0,0,,0.000159999999999938,0.0003500000000000725
EURUSD,2019.08.07 05:15:00,1.12069,266,0,0,,4.000000000004e-05,0.0001700000000000035
EURUSD,2019.08.07 05:00:00,1.12107,267,0,0,,0.000140000000000029,5.000000000010552e-05
EURUSD,2019.08.07 04:45:00,1.1213,268,0,0,,0.000219999999999887,0.0004499999999998394
EURUSD,2019.08.07 04:30:00,1.12144,269,0,0,,9.999999999998899e-05,0.0002499999999998614
EURUSD,2019.08.07 04:15:00,1.12144,270,0.000159999999999938,0.0004500000000000615,,0,0
EURUSD,2019.08.07 04:00:00,1.12093,271,0.000199999999999978,0.0003599999999999159,,0,0
EURUSD,2019.08.07 03:45:00,1.12086,272,0,0,,0.0001100000000000545,0.000180000000000069
EURUSD,2019.08.07 03:30:00,1.1214,273,0,0,,4.999999999988347e-05,4.999999999988347e-05
EURUSD,2019.08.07 03:15:00,1.12165,274,4.999999999988347e-05,1.000000000006551e-05,,0,0
EURUSD,2019.08.07 03:00:00,1.12101,275,7.00000000000145e-05,0.0001299999999999635,,0,0
EURUSD,2019.08.07 02:45:00,1.12049,276,5.000000000010552e-05,9.999999999998899e-05,,0,0
