chart,Time,close,num,imacd,ShaLowSD,,ShaHighUSD,ShaLowUSD
EURUSD,2019.08.09 22:00:00,1.12024,1,0.000242527,0,,2.00E-05,4.00E-05
EURUSD,2019.08.09 21:00:00,1.12063,2,0.000268041,8.00E-05,,0,0
EURUSD,2019.08.09 20:00:00,1.12037,3,0.000256998,0,,8.00E-05,0.00015
EURUSD,2019.08.09 19:00:00,1.12106,4,0.000265638,0,,0.00067,0.00015
EURUSD,2019.08.09 18:00:00,1.1221,5,0.000202546,1.00E-04,,0,0
EURUSD,2019.08.09 17:00:00,1.12001,6,1.32E-05,0.00049,,0,0
EURUSD,2019.08.09 16:00:00,1.11925,7,-1.59E-05,0,,0.00014,0.00019
EURUSD,2019.08.09 15:00:00,1.12012,8,2.46E-05,0,,0.00065,0.00012
EURUSD,2019.08.09 14:00:00,1.12029,9,-1.27E-05,0,,0.0008,4.00E-05
EURUSD,2019.08.09 13:00:00,1.12049,10,-7.74E-05,0.00081,,0,0
EURUSD,2019.08.09 12:00:00,1.12034,11,-0.000179185,7.00E-05,,0,0
EURUSD,2019.08.09 11:00:00,1.11936,12,-0.000291248,0.00042,,0,0
EURUSD,2019.08.09 10:00:00,1.11869,13,-0.000330262,0.00027,,0,0
EURUSD,2019.08.09 09:00:00,1.11862,14,-0.000307036,0,,0.00018,0.00012
EURUSD,2019.08.09 08:00:00,1.11959,15,-0.000265799,0,,0,0
EURUSD,2019.08.09 07:00:00,1.11941,16,-0.000308062,0,,0.00016,6.00E-05
EURUSD,2019.08.09 06:00:00,1.11956,17,-0.000339197,0.00021,,0,0
EURUSD,2019.08.09 05:00:00,1.11958,18,-0.000389276,0.00014,,0,0
EURUSD,2019.08.09 04:00:00,1.11938,19,-0.000449569,0.00031,,0,0
EURUSD,2019.08.09 03:00:00,1.11922,20,-0.000499622,0.00011,,0,0
EURUSD,2019.08.09 02:00:00,1.11857,21,-0.00053995,3.00E-05,,0,0
EURUSD,2019.08.09 01:00:00,1.11851,22,-0.000517387,0,,1.00E-05,6.00E-05
EURUSD,2019.08.09 00:00:00,1.11924,23,-0.000474953,5.00E-05,,0,0
EURUSD,2019.08.08 23:00:00,1.11789,24,-0.000488212,0,,0.00028,0
EURUSD,2019.08.08 22:00:00,1.11866,25,-0.000360579,3.00E-05,,0,0
EURUSD,2019.08.08 21:00:00,1.11851,26,-0.000270828,0,,0.00031,0.00046
EURUSD,2019.08.08 20:00:00,1.11997,27,-0.000137061,0,,0.00012,0.00056
EURUSD,2019.08.08 19:00:00,1.12044,28,-0.000112987,0,,0.0001,0.00094
EURUSD,2019.08.08 18:00:00,1.12064,29,-0.00012847,0,,0,0
EURUSD,2019.08.08 17:00:00,1.1199,30,-0.000166728,0.00037,,0,0
EURUSD,2019.08.08 16:00:00,1.11964,31,-0.000137788,0,,0.00097,0.00203
EURUSD,2019.08.08 15:00:00,1.12037,32,-7.24E-05,0.00067,,0,0
EURUSD,2019.08.08 14:00:00,1.11875,33,-6.22E-05,0,,0.0002,0.00038
EURUSD,2019.08.08 13:00:00,1.12001,34,0.000116738,0,,2.00E-05,2.00E-05
EURUSD,2019.08.08 12:00:00,1.12112,35,0.00021508,0,,0.00013,0.00058
EURUSD,2019.08.08 11:00:00,1.12141,36,0.000224454,0,,5.00E-05,0.00105
EURUSD,2019.08.08 10:00:00,1.12169,37,0.000203627,0.00043,,0,0
EURUSD,2019.08.08 09:00:00,1.12061,38,0.000145573,0,,0.00062,0.00034
EURUSD,2019.08.08 08:00:00,1.12117,39,0.000179321,0.00013,,0,0
EURUSD,2019.08.08 07:00:00,1.12091,40,0.000162769,0,,1.00E-04,0.00012
EURUSD,2019.08.08 06:00:00,1.12099,41,0.000165749,0.00018,,0,0
EURUSD,2019.08.08 05:00:00,1.12095,42,0.000158995,0,,0,0
EURUSD,2019.08.08 04:00:00,1.12067,43,0.000152134,0,,0.00062,0.0002
EURUSD,2019.08.08 03:00:00,1.12097,44,0.000169675,6.00E-05,,0,0
EURUSD,2019.08.08 02:00:00,1.12035,45,0.000159049,0,,0.00027,0.00019
EURUSD,2019.08.08 01:00:00,1.12044,46,0.0002063,9.00E-05,,0,0
EURUSD,2019.08.08 00:00:00,1.12007,47,0.000254445,0.00017,,0,0
EURUSD,2019.08.07 23:00:00,1.11976,48,0.000349868,0,,5.00E-05,0.00027
EURUSD,2019.08.07 22:00:00,1.12032,49,0.000498137,0,,1.00E-04,0.00028
EURUSD,2019.08.07 21:00:00,1.12139,50,0.000623118,0,,0.00048,0.00062
EURUSD,2019.08.07 20:00:00,1.12162,51,0.00066463,0,,0.00064,0.00037
EURUSD,2019.08.07 19:00:00,1.12266,52,0.000684529,0,,1.00E-04,0.00066
EURUSD,2019.08.07 18:00:00,1.1235,53,0.00059408,0.00027,,0,0
EURUSD,2019.08.07 17:00:00,1.12154,54,0.000384466,0,,0.00089,0.00061
EURUSD,2019.08.07 16:00:00,1.12339,55,0.000310893,0.00037,,0,0
EURUSD,2019.08.07 15:00:00,1.12066,56,2.41E-05,0.00072,,0,0
EURUSD,2019.08.07 14:00:00,1.11978,57,-6.43E-05,6.00E-05,,0,0
EURUSD,2019.08.07 13:00:00,1.11839,58,-8.67E-05,0,,0.00051,0.0003
EURUSD,2019.08.07 12:00:00,1.11847,59,2.76E-05,0,,0.00036,0
EURUSD,2019.08.07 11:00:00,1.11906,60,0.000164901,0.00025,,0,0
EURUSD,2019.08.07 10:00:00,1.1189,61,0.000277682,0,,6.00E-05,0.00044
EURUSD,2019.08.07 09:00:00,1.11982,62,0.000433883,0,,0.00033,1.00E-04
EURUSD,2019.08.07 08:00:00,1.12059,63,0.000533269,0,,0.00026,9.00E-05
EURUSD,2019.08.07 07:00:00,1.12109,64,0.000573964,0,,7.00E-05,0.00012
